timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751046494843,56,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,57235,519,1,3,http://127.0.0.1:5000/management,35,0,1
1751046494843,35,Requisição HTTP-0,302,FOUND,Grupo de Usuários 1-1,text,true,,588,250,1,3,http://127.0.0.1:5000/login,35,0,1
1751046494879,20,Requisição HTTP-1,200,OK,Grupo de Usuários 1-1,text,true,,56647,269,1,3,http://127.0.0.1:5000/management,20,0,1
1751046494906,32,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,56647,269,1,4,http://127.0.0.1:5000/management,32,0,1
1751046494944,15,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,1677,266,1,4,http://127.0.0.1:5000/profile,15,0,1
1751046494960,49,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,58070,713,1,4,http://127.0.0.1:5000/management,25,0,0
1751046494960,25,Requisição HTTP-0,302,FOUND,Grupo de Usuários 1-1,text,true,,635,397,1,4,http://127.0.0.1:5000/adicionar_membro,25,0,0
1751046494986,23,Requisição HTTP-1,200,OK,Grupo de Usuários 1-1,text,true,,57435,316,1,4,http://127.0.0.1:5000/management,22,0,0
1751046495009,17,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,3059,626,1,4,http://127.0.0.1:5000/login,10,0,1
1751046495009,10,Requisição HTTP-0,302,FOUND,Grupo de Usuários 1-1,text,true,,623,312,1,4,http://127.0.0.1:5000/logout,10,0,1
1751046495020,6,Requisição HTTP-1,200,OK,Grupo de Usuários 1-1,text,true,,2436,314,1,4,http://127.0.0.1:5000/login,6,0,0
1751046495027,24,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,58092,781,1,4,http://127.0.0.1:5000/management,8,0,0
1751046495027,8,Requisição HTTP-0,302,FOUND,Grupo de Usuários 1-1,text,true,,657,443,1,4,http://127.0.0.1:5000/login,8,0,0
1751046495035,16,Requisição HTTP-1,200,OK,Grupo de Usuários 1-1,text,true,,57435,338,1,4,http://127.0.0.1:5000/management,16,0,1
1751046495052,20,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,57435,338,1,4,http://127.0.0.1:5000/management,20,0,1
1751046495073,14,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,1677,335,1,4,http://127.0.0.1:5000/profile,14,0,1
1751046495088,46,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,58882,806,1,4,http://127.0.0.1:5000/management,25,0,0
1751046495088,25,Requisição HTTP-0,302,FOUND,Grupo de Usuários 1-1,text,true,,659,466,1,4,http://127.0.0.1:5000/adicionar_membro,25,0,0
1751046495114,20,Requisição HTTP-1,200,OK,Grupo de Usuários 1-1,text,true,,58223,340,1,4,http://127.0.0.1:5000/management,19,0,0
1751046495135,19,Requisição HTTP,200,OK,Grupo de Usuários 1-1,text,true,,3066,657,1,4,http://127.0.0.1:5000/login,9,0,0
1751046495135,9,Requisição HTTP-0,302,FOUND,Grupo de Usuários 1-1,text,true,,630,336,1,4,http://127.0.0.1:5000/logout,9,0,0
